"","X","months_as_customer","policy_state","policy_csl","policy_deductable","policy_annual_premium","umbrella_limit","insured_sex","insured_education_level","insured_occupation","insured_hobbies","insured_relationship","capital_gains","capital_loss","incident_type","collision_type","incident_severity","authorities_contacted","incident_state","number_of_vehicles_involved","property_damage","bodily_injuries","witnesses","police_report_available","vehicle_claim","auto_make","auto_model","fraud_reported","z_of_months_as_customer"
"41",41,79,"IL","100/300",500,1451.62,0,"2","Associate","tech-support","kayaking","not-in-family",0,-55700,"Single Vehicle Collision","Rear Collision","Minor Damage","Ambulance","WV",1,"NO",2,2,NA,28000,"BMW","M5",0,-1.08548826509851
"42",42,116,"IN","250/500",500,1737.66,0,"2","Associate","transport-moving","chess","unmarried",0,-24100,"Single Vehicle Collision","Side Collision","Major Damage","Police","WV",1,NA,1,1,NA,64720,"BMW","X5",1,-0.764065455035244
"43",43,37,"IL","500/1000",500,1475.93,0,"1","College","prof-specialty","hiking","husband",0,-67400,"Multi-vehicle Collision","Side Collision","Minor Damage","Other","SC",3,"YES",1,0,"NO",40180,"Dodge","RAM",0,-1.45034659003518
"44",44,106,"OH","250/500",500,538.17,0,"1","PhD","transport-moving","reading","own-child",49700,-60200,"Single Vehicle Collision","Rear Collision","Total Loss","Other","NC",1,"NO",2,2,"NO",39760,"Mercedes","E400",0,-0.850936484782072
"45",45,269,"IL","100/300",2000,1081.08,0,"2","JD","priv-house-serv","reading","unmarried",36400,-28700,"Single Vehicle Collision","Front Collision","Minor Damage","Other","SC",1,"YES",0,2,NA,33840,"Toyota","Highlander",0,0.565061300091212
"46",46,265,"IL","250/500",1000,1454.43,0,"1","MD","protective-serv","yachting","husband",0,0,"Multi-vehicle Collision","Rear Collision","Total Loss","Other","NY",3,"NO",2,3,NA,48230,"Accura","MDX",0,0.530312888192482
"47",47,163,"IN","100/300",500,1240.47,0,"1","Associate","other-service","polo","husband",35300,0,"Multi-vehicle Collision","Rear Collision","Total Loss","Fire","NC",3,"YES",1,1,NA,63090,"Honda","Civic",0,-0.355771615225156
"48",48,355,"OH","500/1000",2000,1273.7,4000000,"2","College","other-service","kayaking","husband",0,0,"Multi-vehicle Collision","Front Collision","Major Damage","Fire","WV",3,"NO",2,1,"NO",50240,"Audi","A3",1,1.31215215591393
"49",49,175,"IN","500/1000",1000,1123.87,8000000,"1","PhD","protective-serv","dancing","other-relative",0,0,"Vehicle Theft",NA,"Trivial Damage","Police","NY",1,NA,2,0,"YES",5670,"Volkswagen","Passat",0,-0.251526379528964
"50",50,192,"IL","100/300",1000,1245.89,0,"1","Masters","exec-managerial","movies","wife",0,-40300,"Single Vehicle Collision","Rear Collision","Total Loss","Other","WV",1,"NO",0,0,NA,53620,"Mercedes","C300",0,-0.103845628959357
"51",51,430,"OH","250/500",2000,1326.62,7000000,"2","MD","other-service","bungie-jumping","own-child",0,0,"Multi-vehicle Collision","Front Collision","Minor Damage","Fire","NY",3,NA,0,3,"YES",57260,"Nissan","Pathfinder",0,1.96368487901513
"52",52,91,"IL","100/300",2000,1073.83,0,"1","JD","farming-fishing","polo","husband",0,0,"Vehicle Theft",NA,"Trivial Damage","None","NY",1,NA,1,2,NA,5280,"BMW","M5",0,-0.981243029402313
"53",53,217,"IN","100/300",1000,1530.52,0,"2","College","armed-forces","basketball","not-in-family",0,0,"Vehicle Theft",NA,"Minor Damage","None","WV",1,NA,2,1,"YES",3440,"Toyota","Corolla",0,0.113331945407711
"54",54,223,"IN","100/300",500,1201.41,0,"1","JD","priv-house-serv","movies","husband",88400,-46500,"Multi-vehicle Collision","Side Collision","Major Damage","Police","NC",3,"YES",1,0,NA,44870,"Suburu","Forrestor",0,0.165454563255807
"55",55,195,"OH","250/500",1000,1393.57,0,"2","PhD","machine-op-inspct","movies","not-in-family",47600,-39600,"Parked Car",NA,"Minor Damage","Police","VA",1,"NO",0,1,"YES",1680,"Ford","F150",0,-0.0777843200353092
"56",56,22,"OH","100/300",1000,1276.57,0,"2","PhD","craft-repair","skydiving","not-in-family",71500,0,"Single Vehicle Collision","Rear Collision","Minor Damage","Fire","NY",1,"YES",1,2,"NO",55230,"Chevrolet","Silverado",0,-1.58065313465542
"57",57,439,"IN","250/500",500,1082.49,0,"1","PhD","prof-specialty","chess","unmarried",36100,-55000,"Multi-vehicle Collision","Front Collision","Major Damage","Fire","SC",3,NA,2,3,NA,50160,"Honda","CRV",0,2.04186880578728
"58",58,94,"IN","500/1000",1000,1414.74,0,"1","Masters","adm-clerical","hiking","own-child",0,0,"Parked Car",NA,"Minor Damage","None","VA",1,"NO",1,3,"NO",1800,"Chevrolet","Silverado",0,-0.955181720478264
"59",59,11,"IL","250/500",2000,1470.06,0,"2","PhD","other-service","yachting","husband",56600,-45800,"Single Vehicle Collision","Front Collision","Total Loss","Ambulance","WV",1,"YES",0,1,"NO",51170,"Saab","93",0,-1.67621126737693
"60",60,151,"OH","250/500",2000,870.63,0,"1","MD","adm-clerical","kayaking","own-child",94800,-58500,"Multi-vehicle Collision","Side Collision","Minor Damage","Police","VA",3,"NO",1,1,"NO",45760,"Ford","Escape",0,-0.460016850921349
"61",61,154,"IN","100/300",500,795.23,0,"2","PhD","machine-op-inspct","base-jumping","other-relative",36900,0,"Multi-vehicle Collision","Rear Collision","Major Damage","Police","NY",3,"YES",2,1,NA,54040,"Nissan","Maxima",1,-0.433955541997301
"62",62,245,"IL","500/1000",1000,1168.2,0,"2","JD","handlers-cleaners","basketball","husband",69100,0,"Multi-vehicle Collision","Side Collision","Total Loss","Other","OH",3,"NO",0,3,"NO",33210,"Honda","Accord",0,0.356570828698827
"63",63,119,"IL","500/1000",1000,993.51,0,"2","High School","armed-forces","bungie-jumping","unmarried",0,-49500,"Single Vehicle Collision","Side Collision","Minor Damage","Other","WV",1,"NO",0,3,"YES",39410,"BMW","M5",0,-0.738004146111196
"64",64,215,"OH","500/1000",500,1848.81,0,"2","JD","transport-moving","video-games","own-child",0,-49000,"Multi-vehicle Collision","Front Collision","Major Damage","Fire","WV",3,"YES",2,2,"YES",51390,"Suburu","Legacy",1,0.0959577394583453
"65",65,295,"OH","250/500",2000,1641.73,5000000,"2","PhD","sales","chess","not-in-family",62400,0,"Multi-vehicle Collision","Rear Collision","Total Loss","Fire","VA",3,"NO",0,0,"NO",45990,"Ford","Escape",1,0.790925977432963
"66",66,254,"IN","100/300",500,1362.87,0,"1","MD","exec-managerial","chess","other-relative",35700,0,"Multi-vehicle Collision","Front Collision","Minor Damage","Ambulance","NY",3,"YES",2,2,"NO",61740,"Dodge","Neon",1,0.434754755470972
"67",67,107,"IN","250/500",500,1239.22,7000000,"1","High School","tech-support","paintball","not-in-family",43400,-91200,"Single Vehicle Collision","Side Collision","Minor Damage","Fire","SC",1,"YES",0,1,"NO",62100,"Audi","A5",1,-0.842249381807389
"68",68,478,"OH","250/500",500,835.02,0,"1","Associate","adm-clerical","reading","unmarried",59600,0,"Multi-vehicle Collision","Side Collision","Minor Damage","Fire","WV",3,"NO",1,1,"NO",30160,"BMW","X6",0,2.3806658217999
"69",69,128,"OH","100/300",1000,1061.33,0,"2","MD","machine-op-inspct","movies","own-child",43300,-66200,"Single Vehicle Collision","Front Collision","Major Damage","Ambulance","WV",1,"NO",0,3,"NO",49840,"Audi","A5",0,-0.659820219339052
"70",70,338,"IN","500/1000",1000,1279.08,0,"2","MD","other-service","kayaking","own-child",0,-51500,"Parked Car",NA,"Minor Damage","None","NC",1,"NO",0,1,NA,2580,"Ford","F150",0,1.16447140534432
"71",71,271,"OH","100/300",500,1105.49,0,"1","Associate","prof-specialty","sleeping","own-child",56200,-50000,"Multi-vehicle Collision","Side Collision","Major Damage","Other","SC",2,NA,2,3,NA,49680,"Audi","A3",1,0.582435506040578
"72",72,222,"OH","100/300",2000,1055.53,0,"1","MD","armed-forces","cross-fit","not-in-family",37800,-50300,"Single Vehicle Collision","Front Collision","Total Loss","Other","WV",1,"NO",0,2,"NO",47670,"Honda","Civic",1,0.156767460281124
"73",73,199,"OH","250/500",1000,895.83,0,"1","Associate","sales","paintball","husband",0,0,"Single Vehicle Collision","Rear Collision","Minor Damage","Ambulance","NC",1,"NO",1,2,"NO",27090,"Chevrolet","Malibu",0,-0.0430359081365783
"74",74,215,"IN","100/300",500,1632.93,0,"1","College","transport-moving","golf","not-in-family",0,-42900,"Multi-vehicle Collision","Rear Collision","Minor Damage","Fire","SC",3,"NO",2,0,"YES",42840,"Mercedes","C300",0,0.0959577394583453
"75",75,192,"IL","100/300",1000,1405.99,0,"1","Associate","sales","yachting","wife",0,0,"Multi-vehicle Collision","Side Collision","Minor Damage","Ambulance","VA",3,"YES",1,0,"YES",28620,"BMW","X6",0,-0.103845628959357
"76",76,120,"OH","100/300",1000,1425.54,0,"1","High School","transport-moving","bungie-jumping","other-relative",78300,0,"Multi-vehicle Collision","Front Collision","Total Loss","Ambulance","SC",3,"NO",2,0,"NO",34140,"Ford","Fusion",0,-0.729317043136514
"77",77,270,"OH","500/1000",1000,1038.09,0,"1","College","handlers-cleaners","golf","husband",0,-19700,"Multi-vehicle Collision","Front Collision","Minor Damage","Fire","NY",3,"NO",1,1,"YES",67050,"Suburu","Legacy",0,0.573748403065895
"78",78,319,"IN","250/500",500,1307.11,0,"2","College","transport-moving","dancing","not-in-family",0,0,"Multi-vehicle Collision","Front Collision","Total Loss","Police","WV",3,"NO",0,2,NA,38010,"Audi","A3",0,0.999416448825349
"79",79,194,"OH","500/1000",1000,1489.24,6000000,"1","JD","other-service","kayaking","wife",0,-45000,"Vehicle Theft",NA,"Minor Damage","None","SC",1,"YES",2,2,"YES",5580,"Saab","95",0,-0.0864714230099919
"80",80,227,"OH","500/1000",500,976.67,0,"1","PhD","handlers-cleaners","polo","unmarried",0,0,"Single Vehicle Collision","Rear Collision","Major Damage","Fire","SC",1,NA,1,2,NA,50540,"BMW","M5",1,0.200202975154538
"81",81,137,"OH","250/500",2000,1340.43,0,"2","High School","exec-managerial","paintball","husband",52700,-40600,"Multi-vehicle Collision","Side Collision","Minor Damage","Ambulance","NC",3,"NO",1,2,"NO",30480,"Accura","MDX",0,-0.581636292566907
"82",82,244,"OH","500/1000",2000,1267.81,5000000,"1","Masters","exec-managerial","video-games","wife",0,0,"Vehicle Theft",NA,"Trivial Damage","None","NC",1,NA,2,1,NA,4620,"Accura","TL",0,0.347883725724144
"83",83,78,"IL","250/500",1000,1234.2,6000000,"2","Masters","other-service","bungie-jumping","other-relative",0,0,"Vehicle Theft",NA,"Minor Damage","Police","NY",1,"YES",2,2,"NO",5250,"Nissan","Maxima",0,-1.09417536807319
"84",84,200,"IN","250/500",2000,1318.06,0,"2","High School","exec-managerial","video-games","wife",57300,-80600,"Vehicle Theft",NA,"Trivial Damage","None","VA",1,"NO",0,3,"YES",4130,"Volkswagen","Jetta",0,-0.0343488051618956
"85",85,284,"IN","500/1000",2000,769.95,0,"2","Masters","prof-specialty","movies","not-in-family",0,-44200,"Multi-vehicle Collision","Side Collision","Major Damage","Ambulance","NY",2,NA,2,3,"NO",44320,"Audi","A3",1,0.695367844711453
"86",86,275,"OH","100/300",2000,1514.72,0,"2","High School","transport-moving","board-games","own-child",35700,0,"Multi-vehicle Collision","Front Collision","Major Damage","Fire","NY",3,"YES",0,1,NA,40810,"Suburu","Legacy",0,0.617183917939309
"87",87,153,"IL","500/1000",1000,873.64,4000000,"1","Associate","priv-house-serv","yachting","husband",800,0,"Multi-vehicle Collision","Front Collision","Minor Damage","Other","SC",3,"NO",2,1,NA,45600,"Ford","F150",0,-0.442642644971984
"88",88,134,"IL","500/1000",500,1612.43,0,"1","MD","other-service","yachting","own-child",36400,0,"Single Vehicle Collision","Side Collision","Total Loss","Fire","VA",1,NA,2,1,"YES",40880,"BMW","3 Series",0,-0.607697601490955
"89",89,31,"IL","500/1000",2000,1318.24,9000000,"1","College","prof-specialty","kayaking","not-in-family",0,-78600,"Parked Car",NA,"Trivial Damage","None","WV",1,"NO",0,1,"YES",3290,"Dodge","Neon",0,-1.50246920788328
"90",90,41,"IN","100/300",1000,1226.83,0,"1","College","exec-managerial","exercise","not-in-family",0,-56100,"Multi-vehicle Collision","Side Collision","Major Damage","Other","SC",3,"YES",2,0,NA,39480,"Accura","MDX",1,-1.41559817813645
"91",91,127,"OH","250/500",2000,1326.44,5000000,"1","High School","sales","board-games","own-child",0,0,"Multi-vehicle Collision","Front Collision","Total Loss","Fire","SC",2,"YES",1,1,NA,46350,"Saab","93",0,-0.668507322313735
"92",92,61,"IL","250/500",2000,1136.83,4000000,"1","Associate","tech-support","exercise","own-child",0,-62400,"Single Vehicle Collision","Side Collision","Major Damage","Police","NY",1,"NO",0,3,NA,71520,"Honda","Accord",1,-1.24185611864279
"93",93,207,"IL","250/500",2000,1322.78,0,"2","PhD","farming-fishing","yachting","own-child",55200,0,"Parked Car",NA,"Trivial Damage","None","WV",1,"NO",0,1,"NO",4720,"BMW","X5",0,0.0264609156608835
"94",94,219,"IN","100/300",1000,1483.25,0,"1","MD","exec-managerial","exercise","not-in-family",90700,-20800,"Multi-vehicle Collision","Front Collision","Major Damage","Ambulance","NC",3,"NO",1,1,NA,53010,"Ford","Fusion",0,0.130706151357076
"95",95,271,"IL","100/300",500,1515.3,0,"1","High School","machine-op-inspct","hiking","not-in-family",0,0,"Multi-vehicle Collision","Rear Collision","Total Loss","Ambulance","SC",3,"NO",1,0,"NO",68160,"Mercedes","ML350",0,0.582435506040578
"96",96,80,"IL","100/300",2000,1075.18,5000000,"1","PhD","armed-forces","exercise","husband",67700,-58400,"Vehicle Theft",NA,"Minor Damage","None","OH",1,"NO",2,0,"YES",5040,"Toyota","Highlander",0,-1.07680116212382
"97",97,325,"IN","500/1000",1000,1690.27,0,"1","Associate","protective-serv","hiking","not-in-family",61500,0,"Single Vehicle Collision","Side Collision","Major Damage","Fire","VA",1,"YES",0,3,"NO",59670,"Dodge","RAM",1,1.05153906667345
"98",98,29,"IL","250/500",2000,1352.83,0,"2","Masters","farming-fishing","skydiving","own-child",0,-71700,"Multi-vehicle Collision","Rear Collision","Minor Damage","Other","SC",4,"YES",1,2,"YES",50470,"Nissan","Pathfinder",1,-1.51984341383264
"99",99,295,"OH","250/500",1000,1148.73,0,"1","College","machine-op-inspct","kayaking","wife",0,0,"Parked Car",NA,"Trivial Damage","None","WV",1,NA,1,2,"YES",3600,"Saab","95",0,0.790925977432963
"100",100,239,"IL","100/300",1000,969.5,0,"2","College","exec-managerial","reading","not-in-family",0,0,"Vehicle Theft",NA,"Trivial Damage","None","NC",1,"NO",0,0,NA,4200,"Audi","A3",0,0.304448210850731
"101",101,269,"IN","100/300",500,1463.82,0,"1","College","protective-serv","yachting","not-in-family",0,-72300,"Single Vehicle Collision","Rear Collision","Minor Damage","Police","SC",1,"YES",0,0,NA,47580,"Saab","92x",0,0.565061300091212
"102",102,80,"IL","100/300",1000,1474.17,0,"1","College","tech-support","exercise","unmarried",0,0,"Single Vehicle Collision","Side Collision","Major Damage","Police","WV",1,"YES",1,0,"YES",36960,"Saab","95",0,-1.07680116212382
"103",103,279,"IL","250/500",500,1497.35,0,"1","JD","prof-specialty","bungie-jumping","husband",37300,-31700,"Multi-vehicle Collision","Front Collision","Minor Damage","Fire","NC",3,NA,2,3,"NO",25200,"Ford","Fusion",0,0.65193232983804
"104",104,165,"OH","100/300",1000,1427.14,0,"1","Associate","tech-support","kayaking","other-relative",35300,-58100,"Parked Car",NA,"Minor Damage","Police","WV",1,"NO",1,1,"NO",2310,"Toyota","Highlander",0,-0.338397409275791
"105",105,350,"OH","500/1000",500,1495.1,0,"2","College","other-service","basketball","wife",50500,0,"Multi-vehicle Collision","Side Collision","Total Loss","Police","SC",3,"NO",0,0,NA,70110,"Chevrolet","Malibu",0,1.26871664104051
"106",106,295,"IL","100/300",500,1141.62,0,"2","College","prof-specialty","kayaking","husband",34300,-24300,"Vehicle Theft",NA,"Minor Damage","None","WV",1,"YES",1,3,"YES",3360,"Mercedes","E400",0,0.790925977432963
"107",107,464,"OH","500/1000",1000,1125.37,0,"1","Associate","prof-specialty","basketball","husband",0,-56400,"Multi-vehicle Collision","Rear Collision","Major Damage","Police","VA",3,NA,0,2,"YES",53200,"Saab","95",1,2.25904638015434
"108",108,118,"IN","500/1000",2000,1207.36,0,"1","High School","handlers-cleaners","camping","own-child",0,-57000,"Multi-vehicle Collision","Front Collision","Major Damage","Ambulance","WV",2,"NO",1,0,NA,51940,"Volkswagen","Passat",0,-0.746691249085879
"109",109,298,"IL","500/1000",2000,1338.5,0,"1","PhD","machine-op-inspct","basketball","other-relative",28800,0,"Single Vehicle Collision","Front Collision","Major Damage","Fire","NY",1,NA,0,0,NA,48870,"Saab","93",1,0.816987286357012
"110",110,87,"IN","500/1000",1000,1074.07,0,"1","Masters","sales","chess","husband",0,-47500,"Multi-vehicle Collision","Rear Collision","Major Damage","Fire","NY",3,"NO",0,3,"YES",44320,"Nissan","Ultima",1,-1.01599144130104
"111",111,261,"OH","250/500",500,1337.56,0,"1","College","prof-specialty","video-games","unmarried",0,0,"Single Vehicle Collision","Rear Collision","Minor Damage","Police","SC",1,NA,1,2,"YES",52290,"Dodge","RAM",0,0.495564476293751
"112",112,453,"IN","100/300",500,1298.91,6000000,"2","PhD","craft-repair","dancing","unmarried",52600,-38800,"Single Vehicle Collision","Front Collision","Major Damage","Fire","NC",1,"YES",0,0,NA,49000,"Ford","F150",1,2.16348824743283
"113",113,210,"IL","500/1000",500,1222.75,0,"2","High School","exec-managerial","polo","other-relative",0,-41000,"Multi-vehicle Collision","Rear Collision","Total Loss","Other","WV",3,NA,2,0,"NO",51590,"BMW","X5",0,0.0525222245849317
"114",114,168,"IN","100/300",1000,1059.52,0,"2","MD","protective-serv","camping","own-child",0,-40600,"Multi-vehicle Collision","Side Collision","Major Damage","Other","VA",2,NA,1,1,NA,33670,"Saab","93",0,-0.312336100351743
